Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"109","0.0","A Practical Guide of Machine Learning Algorithms and Applications","2023","2023-04-14","H. K. Albahadily, Malik Qasim Mohammed, Ali Kassim Mohammed","This article examines the primary subcategories of machine learning: supervised learning, unsupervised learning, and reinforcement learning. Along with decision trees, random forests, artificial neural networks, SVMs, boosting and bagging algorithms, and BP algorithms, it also examines other well-known machine learning techniques. Through the development of theoretical systems, furthering the development of autonomous learning capacities, integrating multiple digital technologies, and promoting customized, bespoke services, the objective is to increase public awareness of machine learning and hasten its rate of adoption","International Journal of Applied Information Systems","0","0","10.5120/ijais2023451938","https://doi.org/10.5120/ijais2023451938","","true","{'url': 'https://doi.org/10.5120/ijais2023451938', 'status': 'GOLD'}","aaf6bbffd205b63771997bdf60d7cd5a873bed88",""
"110","0.0","Reinforcement Learning Algorithms and Applications in Healthcare and Robotics: A Comprehensive and Systematic Review","2024","2024-04-01","Mokhaled N. A. Al-Hamadani, M. Fadhel, Laith Alzubaidi, B. Harangi","Reinforcement learning (RL) has emerged as a dynamic and transformative paradigm in artificial intelligence, offering the promise of intelligent decision-making in complex and dynamic environments. This unique feature enables RL to address sequential decision-making problems with simultaneous sampling, evaluation, and feedback. As a result, RL techniques have become suitable candidates for developing powerful solutions in various domains. In this study, we present a comprehensive and systematic review of RL algorithms and applications. This review commences with an exploration of the foundations of RL and proceeds to examine each algorithm in detail, concluding with a comparative analysis of RL algorithms based on several criteria. This review then extends to two key applications of RL: robotics and healthcare. In robotics manipulation, RL enhances precision and adaptability in tasks such as object grasping and autonomous learning. In healthcare, this review turns its focus to the realm of cell growth problems, clarifying how RL has provided a data-driven approach for optimizing the growth of cell cultures and the development of therapeutic solutions. This review offers a comprehensive overview, shedding light on the evolving landscape of RL and its potential in two diverse yet interconnected fields.","Sensors (Basel, Switzerland)","29","15.1","10.3390/s24082461","https://doi.org/10.3390/s24082461","","true","{'url': 'https://www.mdpi.com/1424-8220/24/8/2461/pdf?version=1712902831', 'status': 'GOLD'}","35ef42cf6d0f68c0cbd2249a3f65e35d4ff712e7",""
"111","0.0","Evolution-Guided Policy Gradient in Reinforcement Learning","2018","2018-05-01","Shauharda Khadka, Kagan Tumer","Deep Reinforcement Learning (DRL) algorithms have been successfully applied to a range of challenging control tasks. However, these methods typically suffer from three core difficulties: temporal credit assignment with sparse rewards, lack of effective exploration, and brittle convergence properties that are extremely sensitive to hyperparameters. Collectively, these challenges severely limit the applicability of these approaches to real world problems. Evolutionary Algorithms (EAs), a class of black box optimization techniques inspired by natural evolution, are well suited to address each of these three challenges. However, EAs typically suffer from high sample complexity and struggle to solve problems that require optimization of a large number of parameters. In this paper, we introduce Evolutionary Reinforcement Learning (ERL), a hybrid algorithm that leverages the population of an EA to provide diversified data to train an RL agent, and reinserts the RL agent into the EA population periodically to inject gradient information into the EA. ERL inherits EA's ability of temporal credit assignment with a fitness metric, effective exploration with a diverse set of policies, and stability of a population-based approach and complements it with off-policy DRL's ability to leverage gradients for higher sample efficiency and faster learning. Experiments in a range of challenging continuous control benchmarks demonstrate that ERL significantly outperforms prior DRL and EA methods.","","228","29.1","","https://arxiv.org/abs/1805.07917","","true","{'url': 'https://arxiv.org/pdf/1805.07917.pdf', 'status': 'GOLD'}","d5805a80b63ed0a605e5469e321a7e3c42eaf324",""
"112","0.0","A Review of Prominent Paradigms for LLM-Based Agents: Tool Use, Planning (Including RAG), and Feedback Learning","2024","2024-06-09","Xinzhe Li","Tool use, planning, and feedback learning are currently three prominent paradigms for developing Large Language Model (LLM)-based agents across various tasks. Although numerous frameworks have been devised for each paradigm, their intricate workflows and inconsistent taxonomy create challenges in understanding and reviewing the frameworks across different paradigms. This survey introduces a unified taxonomy to systematically review and discuss these frameworks. Specifically, 1) the taxonomy defines environments/tasks, common LLM-profiled roles or LMPRs (policy models, evaluators, and dynamic models), and universally applicable workflows found in prior work, and 2) it enables a comparison of key perspectives on the implementations of LMPRs and workflow designs across different agent paradigms and frameworks. 3) Finally, we identify three limitations in existing workflow designs and systematically discuss the future work. Resources have been made publicly available at in our GitHub repository https://github.com/xinzhel/LLM-Agent-Survey.","","10","5.8","","https://arxiv.org/abs/2406.05804","","true","{'url': 'https://arxiv.org/pdf/2406.05804.pdf', 'status': 'GOLD'}","441c9227a852eeca93c794c7c24d5cbcbd6076ad",""
"113","0.0","Deep reinforcement learning challenges and opportunities for urban water systems.","2024","2024-01-01","Ahmed Negm, Xiandong Ma, George Aggidis","","Water research","16","7.4","10.1016/j.watres.2024.121145","https://doi.org/10.1016/j.watres.2024.121145","","true","{'url': 'https://doi.org/10.1016/j.watres.2024.121145', 'status': 'GOLD'}","9801f905eba810d528972eebb689c831329eccdc",""
"114","0.0","Actor-Critic Policy Optimization in Partially Observable Multiagent Environments","2018","2018-10-21","S. Srinivasan, Marc Lanctot, V. Zambaldi, J. Pérolat, K. Tuyls, R. Munos, Michael H. Bowling","Optimization of parameterized policies for reinforcement learning (RL) is an important and challenging problem in artificial intelligence. Among the most common approaches are algorithms based on gradient ascent of a score function representing discounted return. In this paper, we examine the role of these policy gradient and actor-critic algorithms in partially-observable multiagent environments. We show several candidate policy update rules and relate them to a foundation of regret minimization and multiagent learning techniques for the one-shot and tabular cases, leading to previously unknown convergence guarantees. We apply our method to model-free multiagent reinforcement learning in adversarial sequential decision problems (zero-sum imperfect information games), using RL-style function approximation. We evaluate on commonly used benchmark Poker domains, showing performance against fixed policies and empirical convergence to approximate Nash equilibria in self-play with rates similar to or better than a baseline model-free algorithm for zero-sum games, without any domain-specific state space reductions.","ArXiv","149","20.2","","https://arxiv.org/abs/1810.09026","","true","{'url': 'https://arxiv.org/pdf/1810.09026.pdf', 'status': 'GOLD'}","90fac6e666cfbb2c7071610139ae65ef49066505",""
"115","0.0","Challenges and Opportunities in Multi-Agent Reinforcement Learning","2021","","Giorgia Ramponi","","Journal Not Provided","1","0.2","","https://www.semanticscholar.org/paper/78b00d8a98d0bd61f32fd42a60ccef61577d8dec","","false","","78b00d8a98d0bd61f32fd42a60ccef61577d8dec",""
"116","0.0","Steering control of payoff-maximizing players in adaptive learning dynamics","2023","2023-05-20","Xingru Chen, Feng Fu","Evolutionary game theory provides a mathematical foundation for cross-disciplinary fertilization, especially for integrating ideas from artificial intelligence and game theory. Such integration offers a transparent and rigorous approach to complex decision-making problems in a variety of important contexts, ranging from evolutionary computation to machine behavior. Despite the astronomically huge individual behavioral strategy space for interactions in the iterated Prisoner’s Dilemma (IPD) games, the so-called Zero-Determinant (ZD) strategies is a set of rather simple memory-one strategies yet can unilaterally set a linear payoff relationship between themselves and their opponent. Although the witting of ZD strategies gives players an upper hand in the IPD games, we find and characterize unbending strategies that can force ZD players to be fair in their own interest. Moreover, our analysis reveals the ubiquity of unbending properties in common IPD strategies which are previously overlooked. In this work, we demonstrate the important steering role of unbending strategies in fostering fairness and cooperation in pairwise interactions. Our results will help bring a new perspective by means of combining game theory and multi-agent learning systems for optimizing winning strategies that are robust to noises, errors, and deceptions in non-zero-sum games.","2023 35th Chinese Control and Decision Conference (CCDC)","0","0","10.1109/CCDC58219.2023.10327108","https://doi.org/10.1109/CCDC58219.2023.10327108","","true","{'url': 'https://arxiv.org/pdf/2305.18720', 'status': 'GOLD'}","e43116e9f0053eda8def633f7a3ef428761ffd88",""
"117","0.0","Importance mixing: Improving sample reuse in evolutionary policy search methods","2018","2018-08-17","Aloïs Pourchot, Nicolas Perrin, Olivier Sigaud","Deep neuroevolution, that is evolutionary policy search methods based on deep neural networks, have recently emerged as a competitor to deep reinforcement learning algorithms due to their better parallelization capabilities. However, these methods still suffer from a far worse sample efficiency. In this paper we investigate whether a mechanism known as ""importance mixing"" can significantly improve their sample efficiency. We provide a didactic presentation of importance mixing and we explain how it can be extended to reuse more samples. Then, from an empirical comparison based on a simple benchmark, we show that, though it actually provides better sample efficiency, it is still far from the sample efficiency of deep reinforcement learning, though it is more stable.","ArXiv","14","1.9","","https://arxiv.org/abs/1808.05832","","true","{'url': 'https://arxiv.org/pdf/1808.05832.pdf', 'status': 'GOLD'}","3b59124f04e94662243ce34f9e3f23c4c86c864b",""
"118","0.0","Maximize Your Diffusion: A Study into Reward Maximization and Alignment for Diffusion-based Control","2025","2025-02-16","Dom Huh, Prasant Mohapatra","Diffusion-based planning, learning, and control methods present a promising branch of powerful and expressive decision-making solutions. Given the growing interest, such methods have undergone numerous refinements over the past years. However, despite these advancements, existing methods are limited in their investigations regarding general methods for reward maximization within the decision-making process. In this work, we study extensions of fine-tuning approaches for control applications. Specifically, we explore extensions and various design choices for four fine-tuning approaches: reward alignment through reinforcement learning, direct preference optimization, supervised fine-tuning, and cascading diffusion. We optimize their usage to merge these independent efforts into one unified paradigm. We show the utility of such propositions in offline RL settings and demonstrate empirical improvements over a rich array of control tasks.","ArXiv","1","1","10.48550/arXiv.2502.12198","https://doi.org/10.48550/arXiv.2502.12198","","true","{'url': 'https://arxiv.org/pdf/2502.12198.pdf', 'status': 'GOLD'}","cad636857185f354c9eaca16076770833a811ba5",""
"119","0.0","Node Correlation Effects on Learning Dynamics in Networked Multiagent Reinforcement Learning","2022","2022-09-14","Valentina Y. Guleva","Systems of intelligent interacting agents demonstrate high complexity of learning process due to complexity of single agent learning combined with their communication. Agent interactions are aimed at enhancing speed, quality, and complexity characterictics, nevetheless, each interaction may worse single agent results as well as enhance them. Therefore, building effective communication patterns is of high interest for learning process of intelligent systems. As an applied task, we consider project execution dynamics, where single tasks are assigned to employees having several conflicting parameters, while an intelligent system consists of multiple intelligent agents, learned by reinforcement algorithms. Different patterns of interaction according to agent similarities are explored as a factor affecting learning process. The condition of two agents connection is there similarity value, greater than some determined threshold; similarity function is determined for five static and dynamics parameters, and their influence is regulated by the corresponding five multipliers. The experiment shows there are significant parameters, showing more effect of connection on learning dynamics. This can be seen via effect of parameters, regulating neighbours contribution.","2022 6th Scientific School Dynamics of Complex Networks and their Applications (DCNA)","0","0","10.1109/DCNA56428.2022.9923243","https://doi.org/10.1109/DCNA56428.2022.9923243","","false","","de6a6b6797d95fff48c5b7153330aa72929347d6",""
"120","0.0","Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods","2024","2024-03-30","Yuji Cao, Huan Zhao, Yuheng Cheng, Ting Shu, Yue Chen, Guolong Liu, Gaoqi Liang, Junhua Zhao, Jinyue Yan, Yunjie Li","With extensive pretrained knowledge and high-level general capabilities, large language models (LLMs) emerge as a promising avenue to augment reinforcement learning (RL) in aspects, such as multitask learning, sample efficiency, and high-level task planning. In this survey, we provide a comprehensive review of the existing literature in LLM-enhanced RL and summarize its characteristics compared with conventional RL methods, aiming to clarify the research scope and directions for future studies. Utilizing the classical agent-environment interaction paradigm, we propose a structured taxonomy to systematically categorize LLMs’ functionalities in RL, including four roles: information processor, reward designer, decision-maker, and generator. For each role, we summarize the methodologies, analyze the specific RL challenges that are mitigated and provide insights into future directions. Finally, the comparative analysis of each role, potential applications, prospective opportunities, and challenges of the LLM-enhanced RL are discussed. By proposing this taxonomy, we aim to provide a framework for researchers to effectively leverage LLMs in the RL field, potentially accelerating RL applications in complex applications, such as robotics, autonomous driving, and energy systems.","IEEE Transactions on Neural Networks and Learning Systems","65","33.8","10.1109/TNNLS.2024.3497992","https://doi.org/10.1109/TNNLS.2024.3497992","","true","{'url': 'http://arxiv.org/pdf/2404.00282', 'status': 'GOLD'}","c44471e846846bde281779405a3b5c132fd60b00",""
"121","0.0","The Machine-Learning Approach of Reinforcement Learning","2020","2020-10-08","T. Boraud","This chapter assesses alternative approaches of reinforcement learning that are developed by machine learning. The initial goal of this branch of artificial intelligence, which appeared in the middle of the twentieth century, was to develop and implement algorithms that allow a machine to learn. Originally, they were computers or more or less autonomous robotic automata. As artificial intelligence has developed and cross-fertilized with neuroscience, it has begun to be used to model the learning and decision-making processes for biological agents, broadening the meaning of the word ‘machine’. Theoreticians of this discipline define several categories of learning, but this chapter only deals with those which are related to reinforcement learning. To understand how these algorithms work, it is necessary first of all to explain the Markov chain and the Markov decision-making process. The chapter then goes on to examine model-free reinforcement learning algorithms, the actor-critic model, and finally model-based reinforcement learning algorithms.","","1","0.2","10.1093/oso/9780198824367.003.0016","https://doi.org/10.1093/oso/9780198824367.003.0016","","false","","3b1d5b3afeb983a1293e83047cb41ccefdd2016b",""
"122","0.0","A Survey on Large Language Model based Autonomous Agents","2023","2023-08-22","Lei Wang, Chengbang Ma, Xueyang Feng, Zeyu Zhang, Hao-ran Yang, Jingsen Zhang, Zhi-Yang Chen, Jiakai Tang, Xu Chen, Yankai Lin, Wayne Xin Zhao, Zhewei Wei, Ji-rong Wen","Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.","Frontiers Comput. Sci.","1274","503.6","10.1007/s11704-024-40231-1","https://doi.org/10.1007/s11704-024-40231-1","","true","{'url': 'https://doi.org/10.1007/s11704-024-40231-1', 'status': 'GOLD'}","28c6ac721f54544162865f41c5692e70d61bccab",""
"123","0.0","Mimicking To Dominate: Imitation Learning Strategies for Success in Multiagent Competitive Games","2023","2023-08-20","The Viet Bui, Tien Mai, T. Nguyen","Training agents in multi-agent competitive games presents significant challenges due to their intricate nature. These challenges are exacerbated by dynamics influenced not only by the environment but also by opponents' strategies. Existing methods often struggle with slow convergence and instability. To address this, we harness the potential of imitation learning to comprehend and anticipate opponents' behavior, aiming to mitigate uncertainties with respect to the game dynamics. Our key contributions include: (i) a new multi-agent imitation learning model for predicting next moves of the opponents -- our model works with hidden opponents' actions and local observations; (ii) a new multi-agent reinforcement learning algorithm that combines our imitation learning model and policy training into one single training process; and (iii) extensive experiments in three challenging game environments, including an advanced version of the Star-Craft multi-agent challenge (i.e., SMACv2). Experimental results show that our approach achieves superior performance compared to existing state-of-the-art multi-agent RL algorithms.","ArXiv","1","0.4","10.48550/arXiv.2308.10188","https://doi.org/10.48550/arXiv.2308.10188","","true","{'url': 'https://arxiv.org/pdf/2308.10188', 'status': 'GOLD'}","ce293f938d7e39cb1bb9e6cfd2a4e17f525bc685",""
"124","0.0","Deep reinforcement learning: a survey","2020","2020-10-15","Hao-nan Wang, Ning Liu, Yiyun Zhang, Dawei Feng, Feng Huang, Dongsheng Li, Yiming Zhang","Deep reinforcement learning (RL) has become one of the most popular topics in artificial intelligence research. It has been widely used in various fields, such as end-to-end control, robotic control, recommendation systems, and natural language dialogue systems. In this survey, we systematically categorize the deep RL algorithms and applications, and provide a detailed review over existing deep RL algorithms by dividing them into modelbased methods, model-free methods, and advanced RL methods. We thoroughly analyze the advances including exploration, inverse RL, and transfer RL. Finally, we outline the current representative applications, and analyze four open problems for future research.","Frontiers of Information Technology & Electronic Engineering","441","82","10.1631/FITEE.1900533","https://doi.org/10.1631/FITEE.1900533","","false","","16e83f3f0f78ceb203746eeb88f1f5aae9ba3092",""
"125","0.0","Modelling the Dynamics of Multi-Agent Q-learning: The Stochastic Effects of Local Interaction and Incomplete Information","2022","2022-07-01","Chin-wing Leung, Shuyue Hu, Ho-fung Leung","The theoretical underpinnings of multiagent reinforcement learning has recently attracted much attention.

In this work, we focus on the generalized social learning (GSL) protocol --- an agent interaction protocol that is widely adopted in the literature, and aim to develop an accurate theoretical model for the Q-learning dynamics under this protocol.

Noting that previous models fail to characterize the effects of local interactions and incomplete information that arise from GSL, we model the Q-values dynamics of each individual agent as a system of stochastic differential equations (SDE). 

Based on the SDE, we express the time evolution of the probability density function of Q-values in the population with a Fokker-Planck equation.

We validate the correctness of our model through extensive comparisons with agent-based simulation results across different types of symmetric games. 

In addition, we show that as the interactions between agents are more limited and information is less complete, the population can converge to a outcome that is qualitatively different than that with global interactions and complete information.","","2","0.5","10.24963/ijcai.2022/55","https://doi.org/10.24963/ijcai.2022/55","","true","{'url': 'https://www.ijcai.org/proceedings/2022/0055.pdf', 'status': 'GOLD'}","51fb9520b03a8dae32973899884baf91a84df34e",""
"126","0.0","Intrinsic Exploration as Multi-Objective RL","2020","2020-04-06","Philippe Morere, F. Ramos","Intrinsic motivation enables reinforcement learning (RL) agents to explore when rewards are very sparse, where traditional exploration heuristics such as Boltzmann or e-greedy would typically fail. However, intrinsic exploration is generally handled in an ad-hoc manner, where exploration is not treated as a core objective of the learning process; this weak formulation leads to sub-optimal exploration performance. To overcome this problem, we propose a framework based on multi-objective RL where both exploration and exploitation are being optimized as separate objectives. This formulation brings the balance between exploration and exploitation at a policy level, resulting in advantages over traditional methods. This also allows for controlling exploration while learning, at no extra cost. Such strategies achieve a degree of control over agent exploration that was previously unattainable with classic or intrinsic rewards. We demonstrate scalability to continuous state-action spaces by presenting a method (EMU-Q) based on our framework, guiding exploration towards regions of higher value-function uncertainty. EMU-Q is experimentally shown to outperform classic exploration techniques and other intrinsic RL methods on a continuous control benchmark and on a robotic manipulator.","ArXiv","1","0.2","","https://arxiv.org/abs/2004.02380","","true","{'url': 'https://arxiv.org/pdf/2004.02380.pdf', 'status': 'GOLD'}","15c2194160de38b3800e09a7d98bc94c289c6286",""
"127","0.0","Learning Against Non-Stationary Agents with Opponent Modelling & Deep Reinforcement Learning","2017","","Richard Everett","","Journal Not Provided","0","0","","https://www.semanticscholar.org/paper/8b1288f8d930daea8184e7528b53946791bc767c","","false","","8b1288f8d930daea8184e7528b53946791bc767c",""
"128","0.0","Adaptive Optimization in Evolutionary Reinforcement Learning Using Evolutionary Mutation Rates","2024","","Ying Zhao, Yi Ding, Yan Pei","Deep reinforcement learning (DRL) has achieved notable success in continuous control tasks. However, it faces challenges that limit its applicability to a wider array of tasks, including sparse rewards and limited exploration. Recently, the integration of evolutionary algorithms (EAs) with deep reinforcement learning has emerged as a significant area of research. Evolutionary reinforcement learning (ERL) methods can help address specific challenges inherent in conventional reinforcement learning algorithms. However, the introduction of evolutionary computation algorithms increases the number of hyperparameters, and sensitivity to these hyperparameters continues to pose a significant challenge. This paper proposes an evolutionary reinforcement learning method incorporating evolutionary mutation rates. This method integrates a self-adaptive mutation rate mechanism into the ERL framework, which maintains two populations: one consisting of individuals (agents) and the other one comprising mutation rates. This represents our original contribution to this research. The actor population is categorized into several groups, each assigned a specific mutation rate. After mutation, the mutation rate of the population evolves based on the performance of the mutations within the actor population. This approach addresses the challenge of selecting mutation rates in ERL. Experimental results demonstrate superior performance compared to the standard ERL framework across six continuous control tasks.","IEEE Access","1","0.5","10.1109/ACCESS.2024.3493198","https://doi.org/10.1109/ACCESS.2024.3493198","","true","{'url': 'https://doi.org/10.1109/access.2024.3493198', 'status': 'GOLD'}","a6d2a25db7753aea4a143576c418c27a8d61e68a",""
"129","0.0","Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments","2017","2017-06-07","Ryan Lowe, Yi Wu, Aviv Tamar, J. Harb, P. Abbeel, Igor Mordatch","We explore deep reinforcement learning methods for multi-agent domains. We begin by analyzing the difficulty of traditional algorithms in the multi-agent case: Q-learning is challenged by an inherent non-stationarity of the environment, while policy gradient suffers from a variance that increases as the number of agents grows. We then present an adaptation of actor-critic methods that considers action policies of other agents and is able to successfully learn policies that require complex multi-agent coordination. Additionally, we introduce a training regimen utilizing an ensemble of policies for each agent that leads to more robust multi-agent policies. We show the strength of our approach compared to existing methods in cooperative as well as competitive scenarios, where agent populations are able to discover various physical and informational coordination strategies.","ArXiv","4489","513.8","","https://arxiv.org/abs/1706.02275","","true","{'url': 'https://arxiv.org/pdf/1706.02275.pdf', 'status': 'GOLD'}","7c3ece1ba41c415d7e81cfa5ca33a8de66efd434",""
"130","0.0","Multi-Agent Evolutionary Reinforcement Learning Based on Cooperative Games","2025","2025-04-01","Jin Yu, Ya Zhang, Changyin Sun","Despite the significant advancements in single-agent evolutionary reinforcement learning, research exploring evolutionary reinforcement learning within multi-agent systems is still in its nascent stage. The integration of evolutionary algorithms (EA) and reinforcement learning (RL) has partially mitigated RL's reliance on the environment and provided it with an ample supply of data. Nonetheless, existing studies primarily focus on the indirect collaboration between RL and EA, which lacks sufficient exploration on the effective balance of individual and team rewards. To address this problem, this study introduces game theory to establish a dynamic cooperation framework between EA and RL, and proposes a multi-agent evolutionary reinforcement learning based on cooperative games. This framework facilitates more efficient direct collaboration between RL and EA, enhancing individual rewards while ensuring the attainment of team objectives. Initially, a cooperative policy is formed through a joint network to simplify the parameters of each agent to speed up the overall training process. Subsequently, RL and EA engage in cooperative games to determine whether RL jointly optimizes the same policy based on Pareto optimal results. Lastly, through double objectives optimization, a balance between the two types of rewards is achieved, with EA focusing on team rewards and RL focusing on individual rewards. Experimental results demonstrate that the proposed algorithm outperforms its single-algorithm counterparts in terms of competitiveness.","IEEE Transactions on Emerging Topics in Computational Intelligence","0","0","10.1109/TETCI.2024.3452119","https://doi.org/10.1109/TETCI.2024.3452119","","false","","5df8514386c47b73988bdbab5b4a7065bcb786f4",""
"131","0.0","Best-response multiagent learning in non-stationary environments","2004","2004-07-19","Mike Weinberg, J. Rosenschein","","Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems, 2004. AAMAS 2004.","93","4.3","10.1109/AAMAS.2004.75","https://doi.org/10.1109/AAMAS.2004.75","","false","","7b11ecaff0acfe4bbc60322391782f20ef9f7f04",""
"132","0.0","A Multi-UAV Monitoring and Search Strategy Based on Multi-Agent Reinforcement Learning","2024","2024-10-18","Shuvi Guo, Xuetao Zhang, Hanzhang Wang, Gang Sun, Yisha Liu, Zhuang Yan","Multiple UAVs have been widely used for targets search and monitoring. Nonetheless, in practice, this problem is challenging as targets usually move randomly, but the trajectories of the targets cannot be predicted in advance by UAV swarms. Moreover, the efficiency of exploration, which indirectly impacts monitoring, is low when the number of targets in the environment is unknown. A Search Extended Deep Deterministic Policy Gradient (SEDDPG) method is proposed by utilizing distributed training and information sharing among multiple agents. Specifically, a f ramework o f d ecentralized p artially observable Markov decision processes is established to express this multiobjective optimization problem. Through distributed training and information sharing among multiple agents, a Search Extended Deep Deterministic Policy Gradient (SEDDPG) method is proposed to synchronize exploration and monitoring tasks. This helps multiple UAVs to monitor targets in the environment as extensively as possible. Simulation results demonstrate that the framework is converged, and outperforms in terms of monitoring ability and search efficiency.","2024 IEEE International Conference on Unmanned Systems (ICUS)","0","0","10.1109/ICUS61736.2024.10840158","https://doi.org/10.1109/ICUS61736.2024.10840158","","false","","0d49c39d70ec77b1ce03d4bd95fc8c654c7f4582",""
"133","0.0","Reinforcement learning-based drone simulators: survey, practice, and challenge","2024","2024-09-05","Jun Hoong Chan, Kai Liu, Yu Chen, A. S. M. S. Sagar, Yong-Guk Kim","Recently, machine learning has been very useful in solving diverse tasks with drones, such as autonomous navigation, visual surveillance, communication, disaster management, and agriculture. Among these machine learning, two representative paradigms have been widely utilized in such applications: supervised learning and reinforcement learning. Researchers prefer to use supervised learning, mostly based on convolutional neural networks, because of its robustness and ease of use but yet data labeling is laborious and time-consuming. On the other hand, when traditional reinforcement learning is combined with the deep neural network, it can be a very powerful tool to solve high-dimensional input problems such as image and video. Along with the fast development of reinforcement learning, many researchers utilize reinforcement learning in drone applications, and it often outperforms supervised learning. However, it usually requires the agent to explore the environment on a trial-and-error basis which is high cost and unrealistic in the real environment. Recent advances in simulated environments can allow an agent to learn by itself to overcome these drawbacks, although the gap between the real environment and the simulator has to be minimized in the end. In this sense, a realistic and reliable simulator is essential for reinforcement learning training. This paper investigates various drone simulators that work with diverse reinforcement learning architectures. The characteristics of the reinforcement learning-based drone simulators are analyzed and compared for the researchers who would like to employ them for their projects. Finally, we shed light on some challenges and potential directions for future drone simulators.","Artif. Intell. Rev.","6","4","10.1007/s10462-024-10933-w","https://doi.org/10.1007/s10462-024-10933-w","","true","{'url': 'https://doi.org/10.1007/s10462-024-10933-w', 'status': 'GOLD'}","d855b3f99e5995c187539f224e676042d3eb743a",""
"134","0.0","Multi-Agent Imitation Learning for Agent Typification: A Proof-Of-Concept For Markov Games With Chess","2024","2024-05-20","Helen Haase, Daniel Glake, T. Clemen","Cooperative Multi-Agent learning represents a formidable challenge within the realm of artificial intelligence research. This becomes particularly evident in scenarios with high-dimensional environments where agents possess diverse capabilities and must adhere to specific rules, while learning from experts. Imitation learning emerges as a promising solution, allowing agents to acquire policies by studying demonstrations without receiving direct reward signals. We present a proof of concept that applies Multi-Agent Imitation Learning in combination with self-supervised learning using multiple relabeling steps. This method is applied in a Markov game-like environment resembling the game of chess. Heterogeneous agents have been typed, showing their individual capabilities to cooperate for a common goal. Experimental results demonstrate that it is possible to imitate complex behaviors for specific tailored agents. We present a comprehensive exploration of the advantages and limitations in the context of chess, a popular example of a high-dimensional environment with cooperative and adversarial agents.","2024 Annual Modeling and Simulation Conference (ANNSIM)","0","0","10.23919/ANNSIM61499.2024.10732442","https://doi.org/10.23919/ANNSIM61499.2024.10732442","","false","","c086de0ba95e779b6d19cf5edad00b7e6b0a1a00",""
"135","0.0","The Knowledge Engineering Review","1984","1984-12-01","J. Fox","","The Knowledge Engineering Review","278","6.7","10.1017/S0269888900000618","https://doi.org/10.1017/S0269888900000618","","true","{'url': 'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F503628F5ABB9355BD5BC82844608A9F/S1351324916000085a.pdf/div-class-title-nle-volume-22-issue-3-cover-and-back-matter-div.pdf', 'status': 'GOLD'}","38ee01975db11bb1b54e8b5e726d5c08615202e5",""
"136","0.0","Nash Equilibrium and Learning Dynamics in Three-Player Matching m-Action Games","2024","2024-02-16","Yuma Fujimoto, Kaito Ariu, Kenshi Abe","Learning in games discusses the processes where multiple players learn their optimal strategies through the repetition of game plays. The dynamics of learning between two players in zero-sum games, such as Matching Pennies, where their benefits are competitive, have already been well analyzed. However, it is still unexplored and challenging to analyze the dynamics of learning among three players. In this study, we formulate a minimalistic game where three players compete to match their actions with one another. Although interaction among three players diversifies and complicates the Nash equilibria, we fully analyze the equilibria. We also discuss the dynamics of learning based on some famous algorithms categorized into Follow the Regularized Leader. From both theoretical and experimental aspects, we characterize the dynamics by categorizing three-player interactions into three forces to synchronize their actions, switch their actions rotationally, and seek competition.","ArXiv","1","0.5","10.48550/arXiv.2402.10825","https://doi.org/10.48550/arXiv.2402.10825","","true","{'url': 'https://arxiv.org/pdf/2402.10825.pdf', 'status': 'GOLD'}","8ceb30315cbda14cf2d48b66ec98c61c9e0915b1",""
